Element,Melting Point(K),Boiling Point (K),Atomic Number
Hydrogen,12.81,19.28,1
Helium,1.95,5.22,2
Lithium,454.65,1616,3
Beryllium,1561,2745,4
Boron,2349,4274,5
Carbon,3824,4099,6
Nitrogen,64.15,78.36,7
Oxygen,55.36,91.2,8
Flourine,54.53,86.03,9
Neon,25.56,28.07,10
Sodium,371.95,1157,11
Magnesium,924,1364,12
Aluminium,934.44,2793,13
Silicon,1688,3539,14
Phosphorous,318.3,554.65,15
Sulfur,389.36,718.75,16
Chlorine,172.65,240.11,17
Argon,84.8,88.3,18
Potassium,337.53,1033,19
Calcium,1116,1758,20
Scandium,1815,3110,21
Titanium,1942,3561,22
Vanadium,2184,3681,23
Chromium,2181,2945,24
Manganese,1520,2335,25
Iron,1812,3135,26
Cobalt,1770,3201,27
Nickel,1729,3187,28
Copper,1358.77,2836,29
Zinc,693.68,1181,30
Gallium,303.91,2478,31
Germanium,1212.4,3107,32
Arsenic,1091,888,33
Selenium,494.65,959,34
Bromine,266.95,332.95,35
Krypton,116.79,120.93,36
Rubidium,313.46,962,37
Strontium,1051,1656,38
Yttrium,1796,3619,39
Zirconium,2129,4683,40
Niobium,2751,5018,41
Molybdenum,2897,4913,42
Technetium,2431,4539,43
Ruthenium,2608,4424,44
Rhodium,2238,3969,45
Palladium,1829.05,3237,46
Silver,1235.93,2436,47
Camium,595.22,1041,48
Indium,430.75,2346,49
Tin,506.08,2876,50
Antimony,904.78,1861,51
Tellurium,723.66,1265,52
Iodine,387.85,458.55,53
Xenon,162.36,166.03,54
Cesium,302.59,945,55
Barium,1001,2171,56
Lanthanium,1192,3738,57
Cerium,1072,3698,58
Praseodymium,1205,3794,59
Neodymium,1295,3348,60
Promethium,1316,3274,61
Samarium,1348,2068,62
Europium,1096,1803,63
Gadolinium,1587,3547,64
Terbium,1630,3504,65
Dysprosium,1686,2841,66
Holmium,1748,2974,67
Erbium,1803,3142,68
Thulium,1819,2224,69
Ytterbium,1093,1470,70
Lutetium,1937,3676,71
Hafnium,2507,4877,72
Tantalum,3291,5732,73
Tungsten,3696,5829,74
Rhenium,3460,5870,75
Osmium,3307,5286,76
Iridium,2720,4702,77
Platinum,2042.55,4099,78
Gold,1338.33,3130,79
Mercury,235.32,630.88,80
Thallium,578,1747,81
Lead,601.61,2023,82
Bismuth,545.55,1838,83
Polonium,528,1236,84
Astatine,576,-,85
Radon,203,212.45,86
Francium,301,-,87
Radium,974,1414,88
Actinium,1325,3472,89
Thorium,2024,5062,90
Protactinium,1846,-,91
Uranium,1409,4405,92
Neptunium,918,4176,93
Plutonium,914,3502,94
Americum,1450,2285,95
Curium,1619,3401,96
Berkelium,1324,-,97
Californium,1174,-,98
Einsteinium,1134,-,99
Fermium,1801,-,100
Mendelevium,1101,-,101
Nobelium,1101,-,102
Lawrencium,1901,-,103
